Date,Adjusted Close,High (est),Low (est)
2014-12-01,49.1927470214,0,0
2014-11-28,47.2750652396,0,0
2014-11-27,46.2573202209,0.021874,0.021366
2014-11-26,45.2345410956,0.022376,0.021841
2014-11-25,45.1669143319,0,0
2014-11-24,45.9626415649,0.02202,0.021497
2014-11-21,46.6825075976,0,0
2014-11-20,47.0351399531,0,0
2014-11-19,47.0351399531,0,0
2014-11-18,47.2480380252,0.021428,0.020905
2014-11-17,47.0470894318,0,0
2014-11-14,46.3419946521,0,0
2014-11-13,46.1576097743,0.021935,0.021398
2014-11-12,46.0496322937,0,0
2014-11-11,46.0386079766,0.021984,0.021461
2014-11-10,46.3351234136,0.021837,0.02133
2014-11-07,45.1453001485,0.022419,0.021886
2014-11-06,44.0195094466,0,0
2014-11-05,43.5974905284,0.023199,0.022678
2014-11-04,43.3320622595,0,0
2014-11-03,43.1711823723,0.023437,0.022893
2014-10-31,43.083392214,0.023479,0.022946
2014-10-30,42.6010496899,0.023746,0.023205
2014-10-29,42.307269235,0.023913,0.023363
2014-10-28,42.0629345627,0.024048,0.023503
2014-10-27,41.7752824009,0.024206,0.023672
2014-10-24,41.4609168667,0,0
2014-10-23,41.0876728764,0,0
2014-10-22,40.917869652,0,0
2014-10-21,40.917869652,0,0
2014-10-20,40.7581006725,0,0
2014-10-17,40.7581006725,0,0
2014-10-16,40.7581006725,0.024842,0.024232
2014-10-15,40.5885337392,0.024914,0.024364
2014-10-14,40.4251104616,0.025021,0.024456
2014-10-13,40.2056923219,0.02517,0.024578
2014-10-10,39.9380161989,0,0
2014-10-09,39.9380161989,0,0
2014-10-08,39.9609980659,0,0
2014-10-07,39.9609980659,0.025302,0.02475
2014-10-06,39.9864046224,0.025307,0.024714
2014-10-03,39.6201222677,0,0
2014-10-02,39.6201222677,0,0
2014-10-01,39.4690621756,0.025637,0.025039
2014-09-30,39.3084851296,0,0
2014-09-29,38.8934048453,0.02603,0.025397
2014-09-26,38.4180964602,0,0
2014-09-25,38.4180964602,0.026351,0.025712
2014-09-24,38.5567439601,0,0
2014-09-23,38.5567439601,0.02625,0.025625
2014-09-22,38.4024577573,0,0
2014-09-19,38.4024577573,0,0
2014-09-18,38.366065982,0.026387,0.025747
2014-09-17,38.3435582822,0,0
2014-09-16,38.0015732651,0,0
2014-09-15,37.6265191707,0,0
2014-09-12,37.345901474,0,0
2014-09-11,37.126001938,0.027268,0.026607
2014-09-10,36.9849840965,0,0
2014-09-09,36.9849840965,0,0
2014-09-08,36.9531397235,0,0
2014-09-05,36.9531397235,0,0
2014-09-04,37.1942170431,0,0
2014-09-03,37.3995354978,0,0
2014-09-02,37.2033497896,0,0
2014-09-01,36.8295638275,0,0
2014-08-29,36.3382656473,0,0
2014-08-28,36.1489771647,0,0
2014-08-27,36.1489771647,0,0
2014-08-26,36.1489771647,0,0
2014-08-25,36.1489771647,0.027986,0.027344
2014-08-22,36.1828536693,0,0
2014-08-21,36.1828536693,0.02795,0.027329
2014-08-20,36.0533156432,0,0
2014-08-19,36.0533156432,0,0
2014-08-18,36.0533156432,0.02806,0.027417
2014-08-15,36.0218868985,0,0
2014-08-14,36.0533156432,0,0
2014-08-13,36.0533156432,0.02806,0.027417
2014-08-12,36.1236440087,0,0
2014-08-11,36.3168866259,0.027873,0.027202
2014-08-08,36.1828536693,0.02795,0.027329
2014-08-07,36.0058041356,0.028098,0.027453
2014-08-06,35.7962335203,0.028273,0.027603
2014-08-05,35.665627608,0,0
2014-08-04,35.665627608,0,0
2014-08-01,35.6325852866,0.028404,0.027728
2014-07-31,35.665627608,0,0
2014-07-30,35.5419074631,0.028476,0.027799
2014-07-29,35.3116072784,0,0
2014-07-28,35.0414891231,0.028857,0.028222
2014-07-25,34.9192492361,0.02896,0.028319
2014-07-24,34.935962381,0,0
2014-07-23,35.1340716173,0.028781,0.028148
2014-07-22,35.0813184963,0,0
