Date, Open, High, Low,Adjusted Close, Volume
19-Nov-14,31.77,31.77,31.57,31.68,20826
18-Nov-14,31.57,31.84,31.53,31.75,46140
17-Nov-14,31.44,31.6,31.42,31.57,13336
14-Nov-14,31.56,31.57,31.5,31.53,11494
13-Nov-14,31.55,31.68,31.41,31.52,15147
12-Nov-14,31.33,31.57,31.33,31.53,20977
11-Nov-14,31.44,31.54,31.4,31.43,24560
10-Nov-14,31.45,31.5,31.42,31.44,19246
7-Nov-14,31.45,31.48,31.31,31.39,32274
6-Nov-14,31.37,31.45,31.26,31.45,18274
5-Nov-14,31.31,31.35,31.16,31.32,25555
4-Nov-14,31.11,31.15,30.98,31.11,38047
3-Nov-14,31.23,31.34,31.1,31.15,36650
31-Oct-14,31.08,31.15,31.02,31.15,87985
30-Oct-14,30.51,30.88,30.48,30.79,24046
29-Oct-14,30.66,30.8,30.51,30.64,26415
28-Oct-14,30.3,30.65,30.3,30.61,19214
27-Oct-14,30.13,30.28,30.02,30.27,22405
24-Oct-14,30.09,30.24,29.98,30.24,30974
23-Oct-14,29.9,30.21,29.9,30.04,49222
22-Oct-14,29.98,30.09,29.64,29.64,66515
21-Oct-14,29.41,29.91,29.41,29.91,49651
20-Oct-14,28.89,29.22,28.74,29.22,40845
17-Oct-14,28.85,29.09,28.76,28.94,27478
16-Oct-14,27.98,28.79,27.81,28.58,54078
15-Oct-14,28.31,28.52,27.81,28.48,152547
14-Oct-14,28.57,28.92,28.57,28.62,58023
13-Oct-14,28.96,29.04,28.46,28.5,59289
10-Oct-14,29.3,29.31,28.95,28.95,152839
9-Oct-14,29.88,29.92,29.29,29.33,50710
8-Oct-14,29.63,29.97,29.39,29.96,67870
7-Oct-14,29.85,29.91,29.54,29.55,18422
6-Oct-14,30.27,30.27,29.91,29.99,58968
3-Oct-14,30.08,30.18,29.96,30.13,71395
2-Oct-14,29.8,29.94,29.51,29.88,70196
1-Oct-14,30.17,30.54,29.8,29.86,80718
30-Sep-14,30.48,30.48,30.25,30.26,37318
29-Sep-14,30.23,30.48,30.17,30.46,15454
26-Sep-14,30.29,30.54,30.29,30.47,13896
25-Sep-14,30.8,30.8,30.38,30.39,35960
24-Sep-14,30.71,30.91,30.63,30.9,27039
23-Sep-14,30.92,30.92,30.7,30.7,26122
22-Sep-14,31.13,31.15,30.94,30.95,23998
19-Sep-14,31.46,31.5,31.18,31.24,24032
18-Sep-14,31.38,31.45,31.32,31.38,17306
17-Sep-14,31.34,31.4,31.17,31.34,36513
16-Sep-14,31.12,31.35,31.07,31.26,13556
15-Sep-14,31.24,31.26,31.12,31.21,10512
12-Sep-14,31.35,31.38,31.17,31.26,28918
11-Sep-14,31.13,31.32,31.13,31.32,13996
10-Sep-14,31.21,31.3,31.08,31.24,19332
9-Sep-14,31.41,31.41,31.18,31.21,16004
8-Sep-14,31.49,31.55,31.34,31.45,32498
5-Sep-14,31.35,31.5,31.29,31.49,175113
4-Sep-14,31.49,31.65,31.34,31.39,9352
3-Sep-14,31.58,31.58,31.45,31.45,18439
2-Sep-14,31.59,31.63,31.42,31.49,15968
29-Aug-14,31.53,31.55,31.42,31.55,11293
28-Aug-14,31.32,31.48,31.29,31.4,14679
27-Aug-14,31.45,31.48,31.4,31.42,18587
26-Aug-14,31.44,31.5,31.42,31.44,22073
25-Aug-14,31.31,31.45,31.31,31.4,23884
22-Aug-14,31.21,31.28,31.18,31.22,22237
21-Aug-14,31.14,31.28,31.12,31.22,15023
20-Aug-14,31.02,31.2,30.99,31.16,13031
19-Aug-14,31.02,31.09,31.01,31.08,20152
18-Aug-14,30.83,30.95,30.82,30.93,20133
15-Aug-14,30.85,30.85,30.48,30.67,20241
14-Aug-14,30.57,30.74,30.57,30.73,26830
13-Aug-14,30.42,30.61,30.41,30.61,21743
12-Aug-14,30.42,30.48,30.3,30.32,13475
11-Aug-14,30.46,30.59,30.42,30.42,38651
8-Aug-14,30.11,30.34,30.04,30.34,12471
